date,platform,campaign_name,campaign_type,industry,device,impressions,clicks,cost,conversions,revenue
2024-01-27,Meta Ads,Campaign_21,Video,Ecommerce,Tablet,19830,17429,4894.46,6893.0,22174.32
2024-01-17,Meta Ads,Campaign_93,Video,Ecommerce,Desktop,9151,5600,2495.97,4548.0,9591.44
2024-04-25,TikTok Ads,Campaign_85,Shopping,Ecommerce,Tablet,14434,14056,2140.92,,10315.17
2024-10-14,TikTok Ads,Campaign_86,Shopping,Finance,Tablet,1816,1758,2850.31,565.0,
2024-09-02,TikTok Ads,Campaign_93,Video,EdTech,Desktop,16538,10729,4243.35,1409.0,
2024-02-05,Google Ads,Campaign_20,Search,Healthcare,Desktop,5986,1841,407.97,920.0,
2025-03-22,Meta Ads,Campaign_51,Search,Finance,Tablet,4495,2701,138.08,971.0,302.72
2024-09-20,Google Ads,Campaign_60,Search,EdTech,Desktop,17532,9907,1800.95,4777.0,
2025-01-04,Meta Ads,Campaign_30,Shopping,Ecommerce,Tablet,876,349,691.77,46.0,
2025-01-27,Google Ads,Campaign_1,Video,Finance,Mobile,14098,11867,126.75,5177.0,529.8
2024-07-10,TikTok Ads,Campaign_69,Video,Ecommerce,Tablet,13407,7805,3300.99,5237.0,15760.0
2024-08-07,Google Ads,Campaign_47,Search,Finance,Desktop,8130,3147,3789.23,153.0,
2024-08-09,Google Ads,Campaign_23,Video,Finance,Desktop,13245,11251,2458.08,11151.0,2128.72
2024-12-01,TikTok Ads,Campaign_2,Search,Healthcare,Tablet,2849,2809,2696.89,2489.0,8304.41
2024-03-05,Google Ads,Campaign_40,Video,EdTech,Mobile,851,663,4056.02,379.0,12694.12
2024-09-20,Google Ads,Campaign_26,Video,Finance,Desktop,10636,4107,472.21,3373.0,168.08
2025-01-10,Google Ads,Campaign_21,Search,Ecommerce,Desktop,417,114,3464.45,104.0,16224.85
2024-04-05,TikTok Ads,Campaign_62,Search,Healthcare,Mobile,5988,2504,3658.24,2239.0,
2024-08-04,Meta Ads,Campaign_13,Shopping,EdTech,Mobile,5644,2326,1888.64,2264.0,4689.13
2024-02-21,TikTok Ads,Campaign_111,Search,Ecommerce,Tablet,13923,395,1774.53,232.0,6004.74
2024-02-11,Meta Ads,Campaign_39,Video,EdTech,Desktop,4491,2938,3957.9,1492.0,1804.92
2025-03-17,Google Ads,Campaign_102,Shopping,Finance,Mobile,9348,7330,3529.16,5334.0,12140.84
2024-06-13,Meta Ads,Campaign_83,Search,Ecommerce,Desktop,17575,6313,3531.21,5512.0,
2024-12-29,Meta Ads,Campaign_39,Shopping,Finance,Desktop,8691,7494,1751.09,4312.0,4217.21
2025-03-31,Google Ads,Campaign_105,Shopping,Ecommerce,Tablet,15485,11714,2343.3,4268.0,
2024-02-27,Google Ads,Campaign_32,Search,Ecommerce,Tablet,10188,504,414.46,190.0,904.22
2024-05-22,TikTok Ads,Campaign_1,Search,Finance,Desktop,11003,5348,377.17,1250.0,408.87
2025-02-11,Google Ads,Campaign_8,Video,Healthcare,Desktop,3330,2703,1404.82,470.0,6253.3
2024-05-24,Google Ads,Campaign_33,Search,Healthcare,Mobile,3719,2745,4871.97,539.0,17007.11
2024-10-29,Google Ads,Campaign_66,Video,Healthcare,Desktop,2779,924,4112.69,,14923.3
2024-10-08,TikTok Ads,Campaign_89,Video,EdTech,Tablet,5124,1015,2401.85,800.0,4524.35
2024-11-06,Meta Ads,Campaign_92,Search,Ecommerce,Tablet,13772,4000,669.26,1633.0,
2024-03-25,Meta Ads,Campaign_73,Video,Ecommerce,Tablet,9860,5989,3630.6,1460.0,6859.12
2024-09-06,Meta Ads,Campaign_54,Video,EdTech,Tablet,17100,4544,1343.36,1823.0,
2024-09-11,TikTok Ads,Campaign_23,Shopping,Ecommerce,Mobile,4363,1984,442.04,,1303.92
2024-10-20,Meta Ads,Campaign_98,Video,Finance,Tablet,12173,4673,681.86,2122.0,
2024-02-20,Google Ads,Campaign_5,Search,Healthcare,Desktop,10209,1331,3918.27,248.0,12187.52
2024-08-27,TikTok Ads,Campaign_115,Shopping,Ecommerce,Tablet,19856,19216,2463.09,,7800.62
2024-10-07,TikTok Ads,Campaign_96,Shopping,EdTech,Mobile,7350,6991,3488.34,6238.0,12148.17
2024-01-22,Google Ads,Campaign_70,Search,Ecommerce,Mobile,17055,10161,4108.95,6777.0,7141.75
2024-08-26,Meta Ads,Campaign_107,Shopping,Healthcare,Mobile,16907,10160,196.56,9945.0,617.1
2024-01-14,Meta Ads,Campaign_28,Shopping,Finance,Desktop,4432,2055,4931.28,624.0,22783.54
2024-12-28,TikTok Ads,Campaign_109,Video,Finance,Desktop,16748,6809,665.58,4621.0,2810.21
2024-09-29,TikTok Ads,Campaign_86,Video,Finance,Mobile,6882,1906,3687.03,1038.0,10396.78
2024-08-15,TikTok Ads,Campaign_86,Video,EdTech,Mobile,6288,3596,1775.52,3283.0,4257.54
2025-03-29,Google Ads,Campaign_33,Search,Finance,Mobile,6738,2472,3037.78,1541.0,7567.83
2024-12-15,TikTok Ads,Campaign_24,Shopping,Ecommerce,Tablet,18117,1605,4254.09,1526.0,
2024-01-04,TikTok Ads,Campaign_6,Video,Ecommerce,Desktop,2590,1063,560.19,,2715.44
2024-06-21,Google Ads,Campaign_70,Video,Finance,Tablet,18935,14309,3592.29,13234.0,8560.78
2025-01-16,TikTok Ads,Campaign_100,Search,EdTech,Tablet,16608,12819,3536.15,4208.0,1543.36
2024-03-24,Google Ads,Campaign_63,Search,Ecommerce,Mobile,12977,10231,2744.61,9.0,9394.41
2024-03-09,Meta Ads,Campaign_60,Video,Finance,Mobile,19208,18378,3971.45,14231.0,
2024-02-29,Google Ads,Campaign_72,Shopping,Ecommerce,Mobile,8567,3530,1896.14,1160.0,6841.24
2024-03-29,Meta Ads,Campaign_40,Shopping,Healthcare,Desktop,15524,14340,2615.33,2898.0,11470.84
2024-08-12,TikTok Ads,Campaign_119,Video,Finance,Mobile,6943,3762,3738.05,3708.0,4340.11
2024-01-15,TikTok Ads,Campaign_29,Search,Healthcare,Desktop,3687,2151,1664.08,1970.0,5772.01
2024-10-15,Meta Ads,Campaign_68,Video,Finance,Desktop,9446,922,3762.02,,14645.02
2025-03-11,TikTok Ads,Campaign_29,Search,Ecommerce,Tablet,4612,1865,2682.41,864.0,6129.31
2024-10-09,Google Ads,Campaign_20,Shopping,Finance,Desktop,18755,2891,2992.21,129.0,10714.79
2025-03-21,Meta Ads,Campaign_89,Search,EdTech,Tablet,11111,10789,4736.42,6166.0,13883.15
2024-05-06,Meta Ads,Campaign_113,Shopping,Finance,Mobile,19915,7147,3950.42,,
2024-04-10,Google Ads,Campaign_90,Video,Healthcare,Desktop,7196,3533,4553.43,3367.0,
2024-11-04,Google Ads,Campaign_74,Search,Ecommerce,Desktop,19414,19256,2594.19,3072.0,5175.44
2025-02-21,TikTok Ads,Campaign_17,Shopping,EdTech,Tablet,13224,7970,4317.59,574.0,10053.51
2024-06-09,Google Ads,Campaign_29,Shopping,EdTech,Desktop,13490,1205,827.57,663.0,
2024-12-07,TikTok Ads,Campaign_61,Search,EdTech,Mobile,19097,10395,4877.71,5588.0,13591.87
2024-10-11,Google Ads,Campaign_45,Search,Finance,Tablet,1759,1164,1049.53,989.0,1076.5
2024-08-09,Meta Ads,Campaign_51,Shopping,Healthcare,Mobile,18449,768,2638.24,589.0,6346.13
2024-03-27,TikTok Ads,Campaign_92,Video,EdTech,Mobile,19719,12342,1361.51,8038.0,3584.71
2024-02-23,Google Ads,Campaign_111,Search,EdTech,Tablet,11271,832,1155.37,312.0,113.86
2024-06-13,Meta Ads,Campaign_85,Video,EdTech,Tablet,3054,1287,3015.99,,14516.7
2025-02-06,Google Ads,Campaign_60,Video,Finance,Mobile,17327,14289,3679.52,6150.0,2258.8
2024-09-12,Meta Ads,Campaign_9,Video,Ecommerce,Tablet,19978,4841,171.14,1409.0,295.38
2024-08-11,Google Ads,Campaign_114,Shopping,Ecommerce,Desktop,11093,1387,2828.88,1303.0,6662.94
2024-06-02,Meta Ads,Campaign_29,Search,Finance,Tablet,12808,2599,1090.12,236.0,2298.54
2024-01-17,Google Ads,Campaign_25,Video,Finance,Tablet,8996,74,588.76,,806.76
2024-09-24,Google Ads,Campaign_53,Shopping,Finance,Mobile,15988,8041,4500.09,341.0,13442.06
2024-11-02,Google Ads,Campaign_36,Shopping,Finance,Mobile,11664,2969,234.83,701.0,866.56
2024-09-02,Meta Ads,Campaign_69,Search,Finance,Tablet,6819,1136,2832.02,186.0,9397.65
2024-06-02,Meta Ads,Campaign_117,Search,Ecommerce,Mobile,15507,1762,2481.83,1267.0,4147.68
2024-08-16,TikTok Ads,Campaign_94,Video,Finance,Tablet,1240,60,2298.41,42.0,
2024-11-13,TikTok Ads,Campaign_8,Shopping,Ecommerce,Mobile,16314,4090,4751.19,2864.0,4398.01
2024-02-28,Meta Ads,Campaign_105,Search,Finance,Tablet,1750,1508,4902.88,373.0,15852.6
2024-04-26,TikTok Ads,Campaign_9,Shopping,Healthcare,Desktop,4873,4806,2839.73,400.0,481.99
2024-04-12,Google Ads,Campaign_14,Shopping,Healthcare,Tablet,9018,1500,274.41,593.0,716.81
2024-02-08,TikTok Ads,Campaign_113,Search,Finance,Mobile,2667,2235,2651.33,1121.0,5362.12
2024-02-03,Meta Ads,Campaign_119,Search,Ecommerce,Desktop,7564,2769,4383.33,15.0,10124.24
2024-11-13,Google Ads,Campaign_108,Search,Healthcare,Tablet,15775,13919,47.43,3810.0,
2025-03-04,Meta Ads,Campaign_30,Video,Healthcare,Desktop,10616,4361,2612.6,920.0,43.71
2024-12-09,TikTok Ads,Campaign_37,Search,Ecommerce,Tablet,14269,4388,4938.61,431.0,9490.2
2024-07-17,TikTok Ads,Campaign_72,Search,EdTech,Desktop,4805,806,3003.99,439.0,14857.51
2024-09-15,Meta Ads,Campaign_5,Search,Finance,Tablet,9076,3564,882.64,1389.0,822.79
2024-06-26,Meta Ads,Campaign_62,Search,Healthcare,Tablet,726,688,4974.54,,9855.61
2024-04-07,TikTok Ads,Campaign_105,Shopping,EdTech,Mobile,7906,4069,2684.87,780.0,7787.28
2024-08-13,TikTok Ads,Campaign_38,Shopping,Ecommerce,Desktop,17602,5016,1645.26,1355.0,6048.08
2024-10-27,Meta Ads,Campaign_93,Shopping,Finance,Tablet,9105,8228,4957.38,3020.0,
2024-06-16,Google Ads,Campaign_59,Shopping,Healthcare,Mobile,1591,1063,1335.14,39.0,5323.38
2024-01-07,Google Ads,Campaign_107,Search,Finance,Mobile,6924,362,3400.7,44.0,12798.82
2024-12-21,Meta Ads,Campaign_78,Search,Ecommerce,Tablet,16370,5150,1675.59,4521.0,1346.84
2024-12-19,Google Ads,Campaign_35,Video,EdTech,Desktop,10177,5343,2799.22,3117.0,
2024-10-04,Meta Ads,Campaign_68,Shopping,Healthcare,Mobile,11718,5352,1960.76,1247.0,7389.11
2024-07-28,Meta Ads,Campaign_14,Shopping,Ecommerce,Tablet,14859,9109,289.6,8073.0,
2024-02-27,TikTok Ads,Campaign_26,Video,Finance,Desktop,2428,1030,1618.05,28.0,6232.79
2025-01-06,Meta Ads,Campaign_47,Video,Healthcare,Desktop,3356,515,818.12,98.0,2837.58
2024-12-22,TikTok Ads,Campaign_84,Video,EdTech,Mobile,11722,5658,755.29,,3563.52
2024-10-06,Meta Ads,Campaign_15,Shopping,Healthcare,Desktop,5626,4665,3729.19,3963.0,16186.97
2025-01-21,Google Ads,Campaign_64,Search,Healthcare,Desktop,17368,5776,3854.61,3676.0,14667.25
2024-12-05,Google Ads,Campaign_38,Search,Healthcare,Tablet,19330,15251,6.16,7725.0,18.71
2024-09-30,Meta Ads,Campaign_64,Video,Finance,Tablet,5109,116,1551.81,1.0,90.16
2024-06-27,Google Ads,Campaign_17,Search,Finance,Tablet,8357,6154,4763.24,5420.0,17249.72
2024-08-12,Google Ads,Campaign_105,Search,Finance,Mobile,8783,2720,4706.19,713.0,
2024-05-22,Meta Ads,Campaign_106,Shopping,Healthcare,Mobile,14451,7833,4887.33,917.0,16939.34
2025-02-19,Google Ads,Campaign_114,Video,Healthcare,Desktop,18279,6090,157.93,316.0,41.04
2024-01-22,Meta Ads,Campaign_3,Shopping,Ecommerce,Desktop,13629,12398,3304.1,8442.0,9870.6
2025-01-26,Google Ads,Campaign_119,Search,EdTech,Tablet,4109,2134,1096.07,1560.0,1846.31
2024-08-30,TikTok Ads,Campaign_61,Search,Finance,Tablet,10181,7057,2712.39,661.0,1105.66
2024-10-19,Meta Ads,Campaign_20,Video,Ecommerce,Tablet,13518,352,4803.9,331.0,20326.39
2024-10-21,Meta Ads,Campaign_115,Shopping,Finance,Desktop,4703,1273,3030.94,1140.0,12017.01
2024-03-27,Meta Ads,Campaign_44,Video,Finance,Desktop,15596,529,657.84,20.0,2989.99
2024-03-24,Meta Ads,Campaign_103,Video,Ecommerce,Tablet,374,292,4353.75,40.0,11206.93
2024-10-27,TikTok Ads,Campaign_47,Shopping,EdTech,Desktop,2113,1252,3867.37,260.0,
2024-05-12,TikTok Ads,Campaign_76,Search,Ecommerce,Desktop,11970,629,2243.89,269.0,1635.31
2024-04-29,TikTok Ads,Campaign_79,Video,Healthcare,Tablet,6099,1307,1783.66,1144.0,6972.24
2024-01-01,TikTok Ads,Campaign_35,Video,Ecommerce,Mobile,17340,1939,614.85,,158.93
2024-10-25,Meta Ads,Campaign_98,Search,Finance,Mobile,5178,1008,741.72,690.0,3579.24
2024-05-05,Google Ads,Campaign_52,Video,Finance,Tablet,15398,5342,2661.22,3249.0,
2024-06-23,Meta Ads,Campaign_65,Shopping,EdTech,Desktop,10225,9556,780.82,8320.0,3761.0
2024-12-10,Meta Ads,Campaign_68,Search,Ecommerce,Tablet,15504,7705,3842.6,3719.0,
2025-03-29,TikTok Ads,Campaign_73,Search,Ecommerce,Mobile,13598,3124,532.97,1327.0,2663.29
2024-04-07,Google Ads,Campaign_102,Video,Healthcare,Desktop,12975,6924,1443.43,2632.0,
2024-11-05,TikTok Ads,Campaign_89,Search,EdTech,Mobile,4114,3553,2177.92,2444.0,1309.03
2024-10-17,Meta Ads,Campaign_90,Shopping,EdTech,Desktop,4806,2190,2742.5,916.0,7482.73
2024-06-02,Google Ads,Campaign_12,Search,Finance,Mobile,2989,1026,2595.41,84.0,332.76
2024-01-21,TikTok Ads,Campaign_107,Shopping,Healthcare,Tablet,11563,11022,4064.93,8234.0,19420.68
2024-11-29,Google Ads,Campaign_68,Search,Healthcare,Desktop,6542,5923,985.77,714.0,958.95
2024-06-06,Meta Ads,Campaign_2,Search,Ecommerce,Desktop,3610,1692,2904.66,750.0,
2025-03-01,Google Ads,Campaign_42,Video,EdTech,Desktop,19914,1286,2625.82,1131.0,1403.2
2024-08-01,Google Ads,Campaign_26,Search,EdTech,Desktop,9600,5291,4757.02,1708.0,19484.49
2024-03-08,Meta Ads,Campaign_24,Shopping,Healthcare,Tablet,10617,5752,3849.72,,4920.81
2024-02-18,TikTok Ads,Campaign_108,Video,Ecommerce,Tablet,3273,2904,748.52,145.0,572.56
2024-03-18,Google Ads,Campaign_57,Video,Ecommerce,Desktop,14996,8853,3035.47,2852.0,3520.34
2024-08-28,TikTok Ads,Campaign_103,Video,EdTech,Desktop,17727,14114,2021.59,4358.0,7253.44
2024-12-18,TikTok Ads,Campaign_73,Search,EdTech,Desktop,1125,553,397.1,287.0,
2024-06-08,Google Ads,Campaign_8,Video,Healthcare,Desktop,2472,707,3348.01,560.0,
2024-06-20,Meta Ads,Campaign_102,Search,EdTech,Desktop,8258,7979,951.62,2428.0,
2024-11-06,Meta Ads,Campaign_62,Video,Ecommerce,Tablet,9686,4211,4788.13,661.0,16519.17
2024-12-13,TikTok Ads,Campaign_104,Video,Ecommerce,Mobile,3083,656,3977.25,399.0,4666.15
2024-09-28,Meta Ads,Campaign_116,Video,Ecommerce,Desktop,16669,148,445.62,83.0,284.56
2024-11-18,Meta Ads,Campaign_23,Video,Healthcare,Desktop,16163,4576,1731.61,1601.0,4413.22
2024-02-11,Meta Ads,Campaign_82,Search,EdTech,Desktop,4406,261,4257.12,,19808.28
2024-06-11,Meta Ads,Campaign_91,Video,EdTech,Desktop,12265,7629,1059.91,133.0,1709.25
2024-09-26,Google Ads,Campaign_110,Video,Finance,Mobile,7373,5907,662.62,4361.0,3057.19
2025-03-27,Google Ads,Campaign_79,Search,Healthcare,Mobile,15795,11138,731.87,2530.0,249.47
2024-09-10,Meta Ads,Campaign_60,Shopping,EdTech,Tablet,8734,845,528.32,531.0,570.69
2024-02-25,TikTok Ads,Campaign_73,Shopping,EdTech,Mobile,7154,5636,290.82,1953.0,84.02
2024-09-16,TikTok Ads,Campaign_40,Search,Ecommerce,Tablet,5448,1179,888.83,189.0,2746.71
2024-04-25,TikTok Ads,Campaign_62,Search,EdTech,Tablet,1403,819,2635.21,220.0,1722.25
2025-02-08,Meta Ads,Campaign_102,Shopping,Ecommerce,Desktop,1549,454,4819.11,228.0,3224.07
2024-06-29,Meta Ads,Campaign_101,Search,Healthcare,Mobile,7993,6007,1617.5,5542.0,5089.45
2024-10-08,Meta Ads,Campaign_68,Video,Healthcare,Desktop,11234,4592,4221.79,2442.0,
2024-04-14,Google Ads,Campaign_9,Search,Ecommerce,Desktop,7394,5864,2297.23,3804.0,10246.62
2024-10-10,TikTok Ads,Campaign_119,Video,Healthcare,Tablet,16955,3631,4651.59,2076.0,18168.42
2025-03-24,TikTok Ads,Campaign_101,Search,Healthcare,Mobile,18631,16462,2592.04,8080.0,9557.29
2024-08-15,TikTok Ads,Campaign_52,Shopping,EdTech,Tablet,3456,407,2542.9,151.0,5873.42
2025-01-02,Google Ads,Campaign_95,Search,Ecommerce,Desktop,8964,6493,1325.23,2037.0,
2024-09-11,Meta Ads,Campaign_10,Search,Healthcare,Tablet,11824,1827,346.27,1405.0,828.03
2024-01-10,TikTok Ads,Campaign_17,Video,EdTech,Mobile,17153,780,2603.84,,2039.31
2024-04-22,Google Ads,Campaign_99,Video,Healthcare,Desktop,4583,3697,4641.59,2837.0,11512.25
2025-01-26,Meta Ads,Campaign_104,Video,EdTech,Tablet,15990,38,1261.21,,2904.19
2024-09-14,Google Ads,Campaign_85,Shopping,Healthcare,Tablet,14571,9951,1346.66,8789.0,4901.49
2024-07-07,Google Ads,Campaign_56,Shopping,EdTech,Desktop,15921,11870,4203.52,9678.0,11396.52
2024-07-04,Google Ads,Campaign_108,Search,EdTech,Mobile,18450,16406,4385.69,5926.0,3527.15
2024-10-28,TikTok Ads,Campaign_91,Shopping,Finance,Mobile,6019,5602,3287.8,5343.0,12203.46
2024-01-14,Google Ads,Campaign_34,Search,Ecommerce,Tablet,2159,1036,4240.24,499.0,17653.83
2025-01-15,Meta Ads,Campaign_24,Video,EdTech,Desktop,3983,1778,4383.25,1758.0,8071.96
2025-03-05,Google Ads,Campaign_45,Search,EdTech,Tablet,1828,1765,891.86,1492.0,
2024-09-10,Meta Ads,Campaign_30,Video,EdTech,Tablet,2563,525,2899.92,514.0,8129.35
2024-04-26,TikTok Ads,Campaign_100,Shopping,Healthcare,Mobile,11154,3390,3477.08,1901.0,17071.93
2024-09-07,TikTok Ads,Campaign_75,Search,Healthcare,Desktop,5469,4278,1857.11,1206.0,
2024-03-15,TikTok Ads,Campaign_9,Video,Healthcare,Mobile,10028,1283,591.68,659.0,2484.47
2024-12-02,TikTok Ads,Campaign_109,Shopping,Ecommerce,Tablet,8329,2097,120.96,1794.0,165.15
2024-09-17,Meta Ads,Campaign_90,Video,EdTech,Tablet,17833,5017,930.51,4676.0,2131.74
2024-06-22,Google Ads,Campaign_31,Search,Healthcare,Mobile,5105,2978,35.15,640.0,
2024-09-26,Meta Ads,Campaign_80,Video,EdTech,Desktop,15261,1431,181.44,875.0,250.04
2024-03-24,Meta Ads,Campaign_107,Search,Ecommerce,Desktop,7896,204,2437.86,69.0,
2024-05-22,TikTok Ads,Campaign_21,Video,Finance,Desktop,4000,2010,1183.92,1542.0,3245.84
2024-10-31,TikTok Ads,Campaign_115,Search,Ecommerce,Mobile,5432,4260,724.83,,692.9
2024-10-15,Google Ads,Campaign_24,Search,Ecommerce,Desktop,6588,424,1126.58,160.0,4791.44
2024-04-07,Google Ads,Campaign_74,Search,Ecommerce,Desktop,6171,2090,2744.19,1704.0,3102.95
2024-03-16,TikTok Ads,Campaign_40,Video,Healthcare,Tablet,14357,13368,4309.93,3137.0,16146.8
2025-01-17,Meta Ads,Campaign_116,Video,EdTech,Mobile,16009,610,1006.82,242.0,829.15
2025-03-22,Meta Ads,Campaign_25,Video,EdTech,Mobile,18133,14939,2256.2,781.0,8709.07
2025-02-06,Google Ads,Campaign_51,Shopping,Healthcare,Desktop,17961,9203,3283.9,2274.0,6246.31
2025-03-07,Meta Ads,Campaign_104,Video,Finance,Desktop,16391,475,3172.91,296.0,6281.89
2025-02-20,Google Ads,Campaign_119,Search,Healthcare,Tablet,11531,2822,4530.72,847.0,22280.3
2024-04-18,TikTok Ads,Campaign_117,Search,Finance,Mobile,2307,1781,3698.65,543.0,18279.02
2024-11-20,Google Ads,Campaign_3,Search,Healthcare,Mobile,1283,923,3280.67,,
2025-01-29,Meta Ads,Campaign_47,Search,Ecommerce,Desktop,226,188,2703.97,8.0,4249.97
2024-07-08,Google Ads,Campaign_85,Shopping,Healthcare,Desktop,13269,9346,868.81,587.0,3588.09
2024-09-29,Google Ads,Campaign_108,Shopping,Finance,Tablet,12328,6450,3068.89,5038.0,8857.58
2025-02-26,Meta Ads,Campaign_73,Search,Healthcare,Tablet,9122,8915,3431.64,6049.0,
2024-11-08,Google Ads,Campaign_53,Video,Healthcare,Desktop,9046,8831,1077.65,6659.0,369.12
2024-08-06,TikTok Ads,Campaign_59,Shopping,Finance,Desktop,16843,392,4494.24,354.0,19644.92
2024-03-24,Google Ads,Campaign_25,Video,Finance,Desktop,2597,141,644.24,99.0,2584.54
2024-06-21,TikTok Ads,Campaign_78,Shopping,Ecommerce,Tablet,1750,661,4130.2,,17335.71
2025-02-25,Google Ads,Campaign_61,Search,Finance,Mobile,13947,13686,4363.77,12920.0,
2024-08-09,Google Ads,Campaign_68,Shopping,Healthcare,Desktop,6816,3447,2991.79,2867.0,4486.47
2024-03-02,Google Ads,Campaign_48,Video,Healthcare,Tablet,16232,7804,4945.14,7789.0,13137.17
2024-10-02,Google Ads,Campaign_67,Search,Ecommerce,Mobile,778,575,2607.23,493.0,
2024-10-27,TikTok Ads,Campaign_47,Video,Healthcare,Desktop,7368,3516,4146.43,1928.0,11854.07
2024-06-27,TikTok Ads,Campaign_71,Video,Healthcare,Mobile,16910,10088,4740.54,6748.0,18696.74
2024-08-01,Google Ads,Campaign_82,Search,Ecommerce,Desktop,8770,193,4919.2,161.0,10009.88
2024-05-21,TikTok Ads,Campaign_48,Search,Healthcare,Mobile,8921,4378,2252.33,3451.0,7010.6
2025-01-14,Google Ads,Campaign_90,Shopping,Ecommerce,Mobile,6796,4796,1095.34,2096.0,
2024-10-31,Google Ads,Campaign_17,Search,EdTech,Tablet,18352,17087,221.94,12605.0,906.27
2025-01-29,Google Ads,Campaign_46,Search,Ecommerce,Tablet,16294,182,3377.1,40.0,
2024-09-06,Google Ads,Campaign_8,Search,EdTech,Desktop,11595,11196,3373.04,6132.0,12116.45
2024-11-19,Meta Ads,Campaign_33,Shopping,Healthcare,Desktop,13654,3741,202.79,3052.0,260.28
2024-09-14,TikTok Ads,Campaign_29,Search,Finance,Desktop,1774,411,2021.2,,7577.99
2024-03-24,Meta Ads,Campaign_27,Search,Finance,Mobile,1842,1289,4566.43,909.0,19948.42
2024-11-06,Google Ads,Campaign_79,Video,Ecommerce,Mobile,386,349,3474.41,295.0,7797.5
2025-03-13,TikTok Ads,Campaign_18,Shopping,Ecommerce,Tablet,4669,4144,3645.87,1150.0,15414.82
2024-06-20,TikTok Ads,Campaign_41,Shopping,EdTech,Tablet,2120,2021,1131.4,1657.0,2546.35
2025-02-24,TikTok Ads,Campaign_68,Search,Healthcare,Mobile,15007,10233,3442.03,1141.0,2871.69
2024-05-05,TikTok Ads,Campaign_49,Search,Finance,Mobile,18990,11411,3229.11,5906.0,5499.24
2024-12-30,Meta Ads,Campaign_69,Video,Healthcare,Tablet,13703,929,4940.18,687.0,17000.99
2024-11-10,Google Ads,Campaign_15,Search,Finance,Desktop,4652,1178,800.12,362.0,
2024-07-19,Google Ads,Campaign_29,Search,EdTech,Tablet,2169,1572,2370.03,169.0,11789.22
2024-10-31,Google Ads,Campaign_34,Search,Finance,Mobile,14973,5619,1701.94,1936.0,1311.73
2024-12-06,Meta Ads,Campaign_108,Search,Healthcare,Tablet,5498,2390,4134.07,946.0,3662.19
2025-03-10,Google Ads,Campaign_17,Shopping,Healthcare,Desktop,358,323,4998.57,91.0,20413.08
2024-01-05,Google Ads,Campaign_101,Video,EdTech,Tablet,2151,1237,3654.09,761.0,
2024-09-02,TikTok Ads,Campaign_103,Search,Ecommerce,Mobile,6207,3162,1767.3,1140.0,335.62
2024-07-01,Meta Ads,Campaign_100,Video,EdTech,Mobile,557,523,468.36,146.0,1152.0
2025-03-12,Meta Ads,Campaign_91,Video,Healthcare,Tablet,13527,2454,4593.67,398.0,16668.51
2025-03-04,Google Ads,Campaign_81,Search,Ecommerce,Tablet,6142,3822,2382.42,2819.0,708.43
