date_id,platform_id,device_id,campaign_id,impressions,clicks,cost,conversions,revenue
51,1,1,762,10209,1331,3918.27,248.0,12187.52
240,3,3,219,19856,19216,2463.09,0.0,7800.62
281,3,2,1368,7350,6991,3488.34,6238.0,12148.17
22,1,2,1031,17055,10161,4108.95,6777.0,7141.75
239,2,2,115,16907,10160,196.56,9945.0,617.1
14,2,1,480,4432,2055,4931.28,624.0,22783.54
363,3,1,141,16748,6809,665.58,4621.0,2810.21
273,3,2,1242,6882,1906,3687.03,1038.0,10396.78
228,3,2,1241,6288,3596,1775.52,3283.0,4257.54
454,1,2,547,6738,2472,3037.78,1541.0,7567.83
350,3,3,430,18117,1605,4254.09,1526.0,0.0
4,3,1,897,2590,1063,560.19,0.0,2715.44
173,1,3,1040,18935,14309,3592.29,13234.0,8560.78
382,3,3,25,16608,12819,3536.15,4208.0,1543.36
84,1,2,937,12977,10231,2744.61,9.0,9394.41
69,2,2,911,19208,18378,3971.45,14231.0,0.0
60,1,2,1058,8567,3530,1896.14,1160.0,6841.24
89,2,1,647,15524,14340,2615.33,2898.0,11470.84
225,3,2,271,6943,3762,3738.05,3708.0,4340.11
15,3,1,489,3687,2151,1664.08,1970.0,5772.01
289,2,1,1006,9446,922,3762.02,0.0,14645.02
436,3,3,486,4612,1865,2682.41,864.0,6129.31
283,1,1,384,18755,2891,2992.21,129.0,10714.79
446,2,3,1269,11111,10789,4736.42,6166.0,13883.15
127,2,2,197,19915,7147,3950.42,0.0,0.0
101,1,1,1303,7196,3533,4553.43,3367.0,0.0
309,1,1,1078,19414,19256,2594.19,3072.0,5175.44
418,3,3,336,13224,7970,4317.59,574.0,10053.51
161,1,1,491,13490,1205,827.57,663.0,0.0
342,3,2,914,19097,10395,4877.71,5588.0,13591.87
285,1,3,701,1759,1164,1049.53,989.0,1076.5
222,2,2,790,18449,768,2638.24,589.0,6346.13
87,3,2,1324,19719,12342,1361.51,8038.0,3584.71
54,1,3,168,11271,832,1155.37,312.0,113.86
165,2,3,1229,3054,1287,3015.99,0.0,14516.7
403,1,2,911,17327,14289,3679.52,6150.0,2258.8
256,2,3,1288,19978,4841,171.14,1409.0,295.38
224,1,1,207,11093,1387,2828.88,1303.0,6662.94
154,2,3,488,12808,2599,1090.12,236.0,2298.54
17,1,3,448,8996,74,588.76,0.0,806.76
268,1,2,813,15988,8041,4500.09,341.0,13442.06
307,1,2,586,11664,2969,234.83,701.0,866.56
246,2,3,1010,6819,1136,2832.02,186.0,9397.65
154,2,2,239,15507,1762,2481.83,1267.0,4147.68
229,3,3,1349,1240,60,2298.41,42.0,0.0
318,3,2,1153,16314,4090,4751.19,2864.0,4398.01
59,2,3,86,1750,1508,4902.88,373.0,15852.6
117,3,1,1287,4873,4806,2839.73,400.0,481.99
103,1,3,302,9018,1500,274.41,593.0,716.81
39,3,2,193,2667,2235,2651.33,1121.0,5362.12
34,2,1,261,7564,2769,4383.33,15.0,10124.24
318,1,3,122,15775,13919,47.43,3810.0,0.0
429,2,1,520,10616,4361,2612.6,920.0,43.71
344,3,3,592,14269,4388,4938.61,431.0,9490.2
199,3,1,1055,4805,806,3003.99,439.0,14857.51
259,2,3,761,9076,3564,882.64,1389.0,822.79
178,2,3,928,726,688,4974.54,0.0,9855.61
98,3,2,89,7906,4069,2684.87,780.0,7787.28
226,3,1,608,17602,5016,1645.26,1355.0,6048.08
301,2,3,1333,9105,8228,4957.38,3020.0,0.0
168,1,2,884,1591,1063,1335.14,39.0,5323.38
7,1,2,110,6924,362,3400.7,44.0,12798.82
356,2,3,1126,16370,5150,1675.59,4521.0,1346.84
354,1,1,577,10177,5343,2799.22,3117.0,0.0
278,2,2,1003,11718,5352,1960.76,1247.0,7389.11
210,2,3,300,14859,9109,289.6,8073.0,0.0
58,3,1,460,2428,1030,1618.05,28.0,6232.79
372,2,1,734,3356,515,818.12,98.0,2837.58
357,3,2,1217,11722,5658,755.29,0.0,3563.52
280,2,1,314,5626,4665,3729.19,3963.0,16186.97
387,1,1,952,17368,5776,3854.61,3676.0,14667.25
340,1,3,607,19330,15251,6.16,7725.0,18.71
274,2,3,959,5109,116,1551.81,1.0,90.16
179,1,3,333,8357,6154,4763.24,5420.0,17249.72
225,1,2,86,8783,2720,4706.19,713.0,0.0
143,2,2,103,14451,7833,4887.33,917.0,16939.34
416,1,1,214,18279,6090,157.93,316.0,41.04
22,2,1,501,13629,12398,3304.1,8442.0,9870.6
392,1,3,262,4109,2134,1096.07,1560.0,1846.31
243,3,3,915,10181,7057,2712.39,661.0,1105.66
293,2,3,386,13518,352,4803.9,331.0,20326.39
295,2,1,221,4703,1273,3030.94,1140.0,12017.01
87,2,1,697,15596,529,657.84,20.0,2989.99
84,2,3,68,374,292,4353.75,40.0,11206.93
301,3,1,728,2113,1252,3867.37,260.0,0.0
133,3,1,1102,11970,629,2243.89,269.0,1635.31
120,3,3,1148,6099,1307,1783.66,1144.0,6972.24
1,3,2,576,17340,1939,614.85,0.0,158.93
299,2,2,1389,5178,1008,741.72,690.0,3579.24
126,1,3,805,15398,5342,2661.22,3249.0,0.0
175,2,1,966,10225,9556,780.82,8320.0,3761.0
345,2,3,996,15504,7705,3842.6,3719.0,0.0
454,3,2,1066,13598,3124,532.97,1327.0,2663.29
98,1,1,59,12975,6924,1443.43,2632.0,0.0
310,3,2,1269,4114,3553,2177.92,2444.0,1309.03
291,2,1,1297,4806,2190,2742.5,916.0,7482.73
154,1,2,275,2989,1026,2595.41,84.0,332.76
21,3,3,115,11563,11022,4064.93,8234.0,19420.68
334,1,1,999,6542,5923,985.77,714.0,958.95
158,2,1,366,3610,1692,2904.66,750.0,0.0
426,1,1,673,19914,1286,2625.82,1131.0,1403.2
214,1,1,451,9600,5291,4757.02,1708.0,19484.49
68,2,3,433,10617,5752,3849.72,0.0,4920.81
49,3,3,127,3273,2904,748.52,145.0,572.56
78,1,1,861,14996,8853,3035.47,2852.0,3520.34
241,3,1,69,17727,14114,2021.59,4358.0,7253.44
353,3,1,1067,1125,553,397.1,287.0,0.0
160,1,1,1159,2472,707,3348.01,560.0,0.0
172,2,1,49,8258,7979,951.62,2428.0,0.0
311,2,3,933,9686,4211,4788.13,661.0,16519.17
348,3,2,80,3083,656,3977.25,399.0,4666.15
272,2,1,235,16669,148,445.62,83.0,284.56
323,2,1,425,16163,4576,1731.61,1601.0,4413.22
42,2,1,1185,4406,261,4257.12,0.0,19808.28
163,2,1,1313,12265,7629,1059.91,133.0,1709.25
270,1,2,165,7373,5907,662.62,4361.0,3057.19
452,1,2,1140,15795,11138,731.87,2530.0,249.47
254,2,3,906,8734,845,528.32,531.0,570.69
56,3,2,1071,7154,5636,290.82,1953.0,84.02
260,3,3,640,5448,1179,888.83,189.0,2746.71
116,3,3,926,1403,819,2635.21,220.0,1722.25
405,2,1,52,1549,454,4819.11,228.0,3224.07
181,2,2,39,7993,6007,1617.5,5542.0,5089.45
282,2,1,1007,11234,4592,4221.79,2442.0,0.0
105,1,1,1280,7394,5864,2297.23,3804.0,10246.62
284,3,3,272,16955,3631,4651.59,2076.0,18168.42
449,3,2,39,18631,16462,2592.04,8080.0,9557.29
228,3,3,800,3456,407,2542.9,151.0,5873.42
368,1,1,1351,8964,6493,1325.23,2037.0,0.0
255,2,3,16,11824,1827,346.27,1405.0,828.03
10,3,2,340,17153,780,2603.84,0.0,2039.31
113,1,1,1410,4583,3697,4641.59,2837.0,11512.25
392,2,3,81,15990,38,1261.21,0.0,2904.19
258,1,3,1227,14571,9951,1346.66,8789.0,4901.49
189,1,1,846,15921,11870,4203.52,9678.0,11396.52
186,1,2,120,18450,16406,4385.69,5926.0,3527.15
302,3,2,1310,6019,5602,3287.8,5343.0,12203.46
14,1,3,556,2159,1036,4240.24,499.0,17653.83
381,2,1,435,3983,1778,4383.25,1758.0,8071.96
430,1,3,700,1828,1765,891.86,1492.0,0.0
254,2,3,518,2563,525,2899.92,514.0,8129.35
117,3,2,31,11154,3390,3477.08,1901.0,17071.93
251,3,1,1093,5469,4278,1857.11,1206.0,0.0
75,3,2,1291,10028,1283,591.68,659.0,2484.47
337,3,3,135,8329,2097,120.96,1794.0,165.15
261,2,3,1301,17833,5017,930.51,4676.0,2131.74
174,1,2,524,5105,2978,35.15,640.0,0.0
270,2,1,1169,15261,1431,181.44,875.0,250.04
84,2,1,108,7896,204,2437.86,69.0,0.0
143,3,1,400,4000,2010,1183.92,1542.0,3245.84
305,3,2,215,5432,4260,724.83,0.0,692.9
289,1,1,426,6588,424,1126.58,160.0,4791.44
98,1,1,1078,6171,2090,2744.19,1704.0,3102.95
76,3,3,651,14357,13368,4309.93,3137.0,16146.8
383,2,2,236,16009,610,1006.82,242.0,829.15
447,2,2,447,18133,14939,2256.2,781.0,8709.07
403,1,1,790,17961,9203,3283.9,2274.0,6246.31
432,2,1,82,16391,475,3172.91,296.0,6281.89
417,1,3,264,11531,2822,4530.72,847.0,22280.3
109,3,2,241,2307,1781,3698.65,543.0,18279.02
325,1,2,500,1283,923,3280.67,0.0,0.0
395,2,1,723,226,188,2703.97,8.0,4249.97
190,1,1,1227,13269,9346,868.81,587.0,3588.09
273,1,3,125,12328,6450,3068.89,5038.0,8857.58
423,2,3,1069,9122,8915,3431.64,6049.0,0.0
313,1,1,818,9046,8831,1077.65,6659.0,369.12
219,3,1,883,16843,392,4494.24,354.0,19644.92
84,1,1,448,2597,141,644.24,99.0,2584.54
173,3,3,1129,1750,661,4130.2,0.0,17335.71
422,1,2,915,13947,13686,4363.77,12920.0,0.0
222,1,1,1003,6816,3447,2991.79,2867.0,4486.47
62,1,3,746,16232,7804,4945.14,7789.0,13137.17
276,1,2,984,778,575,2607.23,493.0,0.0
301,3,1,734,7368,3516,4146.43,1928.0,11854.07
179,3,2,1053,16910,10088,4740.54,6748.0,18696.74
214,1,1,1184,8770,193,4919.2,161.0,10009.88
142,3,2,738,8921,4378,2252.33,3451.0,7010.6
380,1,2,1296,6796,4796,1095.34,2096.0,0.0
305,1,3,332,18352,17087,221.94,12605.0,906.27
395,1,3,711,16294,182,3377.1,40.0,0.0
250,1,1,1150,11595,11196,3373.04,6132.0,12116.45
324,2,1,551,13654,3741,202.79,3052.0,260.28
258,3,1,488,1774,411,2021.2,0.0,7577.99
84,2,2,464,1842,1289,4566.43,909.0,19948.42
311,1,2,1145,386,349,3474.41,295.0,7797.5
438,3,3,346,4669,4144,3645.87,1150.0,15414.82
172,3,3,657,2120,2021,1131.4,1657.0,2546.35
421,3,2,999,15007,10233,3442.03,1141.0,2871.69
126,3,2,749,18990,11411,3229.11,5906.0,5499.24
365,2,3,1018,13703,929,4940.18,687.0,17000.99
315,1,1,309,4652,1178,800.12,362.0,0.0
201,1,3,487,2169,1572,2370.03,169.0,11789.22
305,1,2,558,14973,5619,1701.94,1936.0,1311.73
341,2,3,122,5498,2390,4134.07,946.0,3662.19
435,1,1,338,358,323,4998.57,91.0,20413.08
5,1,3,45,2151,1237,3654.09,761.0,0.0
246,3,2,60,6207,3162,1767.3,1140.0,335.62
183,2,2,33,557,523,468.36,146.0,1152.0
437,2,3,1315,13527,2454,4593.67,398.0,16668.51
429,1,3,1172,6142,3822,2382.42,2819.0,708.43
114,2,3,1336,7742,5442,4857.67,2490.0,17828.37
57,2,1,728,19337,12413,4022.19,276.0,4237.48
292,1,2,593,10503,2841,11.59,112.0,0.0
104,3,1,1290,9959,8068,3830.58,2235.0,11752.3
173,2,3,700,15743,7427,1530.69,413.0,4837.67
188,2,3,980,8549,5647,2503.12,5185.0,8849.61
118,1,2,61,2555,1313,1462.58,294.0,1946.46
31,1,1,836,15592,5789,1073.14,436.0,4075.85
366,1,1,432,15369,7651,3185.45,5575.0,7377.07
338,2,2,1093,18691,1228,1357.05,1082.0,1928.87
343,2,2,1151,13752,5086,234.26,1264.0,828.08
411,2,3,696,15275,9080,509.46,5951.0,688.77
218,1,3,549,10380,9298,4681.61,2224.0,2715.86
273,3,2,446,6318,4118,3331.93,3796.0,12678.62
28,1,1,1406,16211,7122,240.93,5842.0,1152.61
397,3,1,366,7935,6093,261.78,226.0,545.16
292,2,2,508,2005,1123,179.69,620.0,836.28
313,1,2,259,16923,14823,4451.08,13109.0,8185.22
356,2,3,17,2100,557,1686.73,524.0,0.0
230,1,3,1215,2158,2064,2320.48,883.0,6022.02
175,2,1,92,10704,10343,2876.78,2745.0,0.0
43,1,3,25,17908,8224,1740.48,6198.0,11.78
104,3,1,486,18591,4426,1455.72,4320.0,1108.73
312,2,1,1097,19660,1102,2911.04,470.0,3481.0
301,3,3,143,16616,9744,3098.67,5690.0,13125.88
188,1,1,727,7006,3483,1725.96,1994.0,2507.0
161,2,3,610,3313,2841,2486.56,0.0,554.05
210,2,3,1086,19167,3644,381.2,1145.0,1538.08
209,3,3,1123,1757,2,2406.67,1.0,8114.68
187,2,3,928,13979,11755,3182.69,9797.0,6471.59
371,1,2,879,8548,7186,3111.72,6102.0,2957.81
352,3,3,1340,14122,8436,3786.55,0.0,9029.03
74,1,3,1324,12474,3667,2494.48,2801.0,0.0
349,3,1,119,18601,4967,4041.38,2369.0,4967.01
93,3,2,198,2787,1461,4966.28,0.0,0.0
349,1,2,1315,9821,7778,1377.74,3696.0,6836.64
105,1,1,963,18545,15417,509.02,0.0,562.09
282,3,3,357,1772,732,2183.07,579.0,5639.94
242,1,3,1330,10230,6297,3815.54,4647.0,16957.93
385,3,3,174,16998,13869,1821.77,11163.0,8011.2
181,3,1,132,15523,13281,4123.94,3607.0,9552.98
138,3,2,68,4276,824,2612.55,508.0,0.0
420,3,3,652,5634,383,955.59,178.0,3496.14
379,3,1,256,18233,2749,4083.9,868.0,7574.43
162,3,1,1281,2708,1991,2072.35,752.0,214.19
102,1,3,965,10965,10744,1482.8,2832.0,5627.27
198,1,3,173,12067,1104,795.13,488.0,390.55
262,1,2,499,508,125,4035.35,56.0,6967.88
32,2,3,196,18287,174,2481.29,0.0,2022.69
216,3,2,492,18919,4173,4216.39,2873.0,0.0
13,2,3,1406,17376,8112,2523.98,5287.0,10886.44
328,3,1,1130,1481,1112,1582.75,451.0,3968.87
113,2,3,811,11254,4690,3370.1,3250.0,0.0
59,1,2,936,16523,1424,3663.5,901.0,1252.06
215,2,1,1251,16402,12253,4910.25,2606.0,18008.02
6,2,2,1015,4855,2761,337.51,0.0,302.69
291,2,1,436,15441,11737,370.21,3802.0,956.6
367,2,1,511,1518,229,460.33,19.0,1435.42
443,3,2,369,16194,13445,2253.43,1742.0,6575.02
248,2,2,34,2642,1177,1065.43,265.0,35.6
73,1,1,722,8475,4396,2709.95,0.0,2987.5
341,3,2,443,8367,5285,3714.12,2704.0,16528.89
170,2,3,1211,2426,72,2947.27,26.0,9397.2
69,3,3,746,10996,8342,68.73,1134.0,73.68
138,2,3,609,8252,5041,2985.48,3010.0,5555.98
209,1,3,893,10558,1993,3689.59,869.0,1262.92
187,1,3,368,5488,4027,4299.12,0.0,0.0
354,3,2,408,5307,741,3246.61,679.0,1039.02
207,1,1,835,13516,6915,2347.63,4351.0,0.0
202,1,2,208,8312,7552,802.31,1637.0,0.0
234,3,3,438,14638,13907,39.82,802.0,88.26
110,2,3,757,14387,3927,1080.3,2200.0,4247.51
425,2,2,768,11087,7024,388.2,0.0,677.2
372,3,2,183,6219,2942,2295.95,2773.0,8287.57
289,2,1,1181,11510,3687,3662.01,596.0,2954.56
28,3,3,1130,8690,7117,526.73,4729.0,1367.46
175,1,3,926,15093,146,4799.31,117.0,13363.16
385,2,2,1331,14665,14247,1018.34,6318.0,2783.56
282,1,2,990,4927,3388,4902.18,2972.0,2801.25
253,3,3,1137,13414,9012,3963.79,192.0,0.0
336,1,2,221,10655,9359,2678.28,3893.0,10999.54
430,2,1,862,717,412,2022.84,338.0,135.2
116,1,1,749,11999,3719,908.62,2581.0,3852.22
323,3,3,507,6476,2604,4712.73,2382.0,0.0
348,3,3,1390,2890,2666,1088.34,2143.0,2633.72
314,1,2,1400,15768,10147,2740.16,5255.0,4798.06
215,3,1,500,2618,582,4452.05,91.0,20217.39
54,3,1,854,489,484,782.38,244.0,2802.47
178,3,1,1298,1629,733,3728.77,715.0,10900.46
129,2,1,701,13680,383,1320.31,61.0,4201.06
279,3,2,1038,16140,922,315.7,867.0,1296.97
79,1,1,911,15899,12679,1320.02,8960.0,5863.95
402,2,1,1153,2103,365,3681.14,186.0,12272.4
61,2,3,985,12031,5669,4515.47,2735.0,18092.31
187,1,1,224,12638,11918,650.4,11663.0,0.0
356,3,3,1143,14334,12795,71.91,6644.0,224.27
171,2,2,1079,13519,4804,2904.75,3196.0,10990.56
389,3,1,401,5395,2258,1857.43,1943.0,5879.44
182,2,2,1248,5232,2217,4746.0,1944.0,8600.5
64,3,1,629,3414,1448,3243.19,570.0,2533.04
112,1,3,266,9941,7086,848.64,6864.0,0.0
322,1,1,757,1319,1141,2679.68,0.0,5384.65
296,2,3,512,9802,8135,259.95,2923.0,0.0
181,3,3,1260,13455,9133,4314.98,5866.0,4242.78
373,2,3,159,18643,10020,3015.2,1257.0,14183.1
11,2,1,778,15627,13232,4689.83,3856.0,0.0
387,1,3,647,14113,8954,504.89,4145.0,371.79
13,1,3,461,16575,13404,4133.09,861.0,7309.3
31,3,1,154,5457,4261,1356.83,0.0,0.0
145,1,1,266,10692,1289,3119.99,1151.0,7610.19
424,1,3,316,4920,2153,3625.03,225.0,12093.32
201,3,3,1111,7692,2896,79.12,0.0,186.28
397,1,1,1172,226,47,3492.65,17.0,8973.5
160,3,2,54,5074,1881,1149.13,269.0,2138.38
200,3,1,1062,9949,5570,4128.55,1666.0,19138.38
325,2,2,796,11874,11145,1687.4,4482.0,4836.28
127,2,2,206,4820,2809,1316.24,1619.0,0.0
315,2,3,171,336,272,4742.51,57.0,14463.27
401,2,1,63,15588,9712,772.46,8347.0,1660.73
337,3,1,231,1756,237,3372.0,93.0,766.33
182,3,1,6,3435,2526,174.56,564.0,382.44
190,1,3,117,3791,1288,557.96,139.0,784.07
390,2,2,779,15198,6416,3386.97,1504.0,15734.93
115,2,3,942,191,53,1172.13,7.0,176.43
58,1,2,806,9221,1051,3695.33,292.0,5203.32
284,1,2,675,3176,1251,1559.4,0.0,615.49
375,2,1,132,13255,4567,461.8,4005.0,1374.35
10,3,1,985,5698,1273,3309.57,919.0,12474.9
351,2,3,1215,19738,10703,4324.81,270.0,15507.05
116,2,2,1228,2230,128,4701.1,88.0,20288.43
277,1,3,767,13171,2341,1499.71,1788.0,3253.2
151,3,2,650,7279,1326,4657.77,470.0,13195.58
237,1,3,832,7347,1008,4004.9,711.0,0.0
307,2,2,149,1260,869,4478.49,860.0,15668.11
223,2,3,1226,17274,6078,4093.7,0.0,5315.07
321,1,1,947,6686,1587,2289.64,856.0,7028.85
17,2,1,1292,5454,1232,1754.1,21.0,7066.52
143,2,3,462,13136,4591,2828.44,0.0,1974.24
407,1,2,565,9460,1015,3396.0,674.0,0.0
14,2,3,291,17369,11795,3282.05,4485.0,9225.66
122,1,1,336,7566,4114,3241.18,1003.0,11041.94
239,2,1,1003,5184,2402,2658.31,799.0,3696.37
136,3,3,680,13699,4524,3550.57,1307.0,0.0
286,2,2,58,9772,961,2323.07,775.0,3677.27
453,2,1,897,16244,10972,4122.36,422.0,0.0
229,2,3,1219,6763,3075,2168.85,2966.0,5936.92
389,2,2,1036,12734,3177,4828.74,0.0,17585.57
316,3,2,298,18581,14191,4951.66,2806.0,0.0
215,2,3,446,14586,9032,4435.6,1814.0,11020.15
25,2,3,1409,19480,1609,3452.03,717.0,13893.79
258,1,3,674,5578,1620,1523.01,0.0,2131.4
441,3,1,730,5450,783,4289.78,240.0,20306.88
263,3,3,173,16459,9548,1376.2,5877.0,1868.14
8,1,3,1300,13179,2059,4028.24,140.0,4553.5
285,3,3,313,15972,9117,3313.98,6543.0,12577.99
326,3,1,590,12748,4713,3800.8,3092.0,2836.34
374,1,3,35,7108,949,1687.66,867.0,2080.21
148,1,2,543,931,840,3240.53,742.0,12808.53
298,1,3,101,15946,3748,1353.22,277.0,0.0
130,2,1,904,8681,5308,2338.41,2462.0,4807.66
410,3,2,775,14758,244,4116.37,158.0,16043.9
260,3,1,457,17755,7135,3904.6,320.0,11762.02
305,2,1,911,13482,7498,758.88,6636.0,3581.64
361,2,1,668,3867,3864,3461.77,1119.0,10823.75
12,1,1,1110,1260,184,4984.55,106.0,14807.65
408,2,2,471,10079,3809,3156.88,1711.0,8652.14
405,2,1,163,5197,526,829.51,523.0,0.0
22,2,2,1163,3981,673,753.44,127.0,3735.0
452,1,3,78,9311,7697,5.56,6437.0,6.06
46,3,1,687,2014,1741,4513.53,709.0,2874.43
206,3,3,676,6638,4651,4471.33,609.0,6444.34
251,3,1,759,13666,8976,64.49,4571.0,274.45
129,3,3,1368,9726,7774,4944.18,3861.0,9638.67
58,1,1,167,12853,1367,4977.84,53.0,20221.82
364,1,3,379,7493,4103,1823.35,2076.0,6077.38
86,3,3,809,7954,7269,933.2,7130.0,0.0
77,1,3,385,10450,4039,2617.82,2035.0,3901.54
98,3,1,364,6578,4875,240.46,4062.0,1121.2
376,3,2,147,13680,8105,4049.62,1243.0,14785.6
88,1,1,285,7833,1893,4556.7,651.0,0.0
438,1,1,1245,3637,2163,3781.27,259.0,7794.7
270,2,2,579,7707,746,4078.85,366.0,1564.7
358,2,1,726,13007,1773,4363.28,0.0,21506.72
391,1,2,780,8435,6360,4772.83,3590.0,11393.13
260,1,2,1052,2560,1771,190.43,948.0,664.79
283,2,3,345,4386,3836,2701.39,919.0,0.0
39,1,1,638,8750,7354,403.08,3102.0,1521.9
253,1,1,874,7370,5185,1798.97,0.0,1755.77
30,1,2,666,6533,4677,2347.59,1735.0,11686.75
29,1,3,116,7797,861,4369.37,154.0,0.0
236,2,3,600,13057,5811,272.83,5606.0,1231.01
450,3,3,897,15966,14713,1322.36,4675.0,450.32
119,1,1,1288,11348,9782,2705.57,0.0,2982.72
271,3,3,491,6559,2774,2617.01,2244.0,8721.47
349,3,3,990,13650,13065,2990.05,2395.0,12779.56
333,1,1,1047,9906,556,2830.09,135.0,7894.16
200,1,2,1279,19880,1813,2255.97,1431.0,6646.25
134,3,1,1011,1689,1517,830.37,1391.0,0.0
111,1,1,75,19645,18203,3352.17,15674.0,6885.17
25,2,1,1190,2031,322,1576.82,5.0,1867.93
439,3,2,359,2038,812,3908.16,369.0,12266.65
214,3,1,850,6681,5133,2449.35,4469.0,9058.71
410,3,1,1392,10171,8890,4020.83,1312.0,1198.56
46,3,1,269,15997,1366,676.09,0.0,1338.66
352,2,3,1120,6040,3560,1514.15,2112.0,5305.02
371,3,3,646,19918,19680,2767.36,18324.0,2907.21
296,1,2,1115,1073,339,3723.68,133.0,3644.66
134,3,3,612,12021,6772,2568.54,1627.0,83.02
19,2,2,952,18061,2881,2869.25,1191.0,0.0
126,3,1,1390,6487,5868,981.47,1058.0,0.0
418,3,2,350,220,146,4565.21,24.0,4126.61
39,3,2,106,8236,7813,3077.1,2068.0,0.0
209,3,2,1402,4476,478,4317.4,14.0,6336.54
330,1,3,1354,3332,787,3395.33,78.0,16924.86
298,1,2,583,15855,12478,688.15,7533.0,0.0
341,3,3,496,14643,198,4658.49,129.0,18721.43
130,1,1,293,18628,17118,1967.78,0.0,0.0
315,3,2,178,1605,697,3226.09,98.0,3745.89
30,3,3,750,2371,216,715.81,182.0,2296.21
155,2,1,558,3793,1755,4377.44,1615.0,18794.5
382,2,1,479,6358,2181,3346.78,1944.0,4075.89
112,2,2,881,6221,687,1178.11,20.0,5132.15
237,3,1,463,3968,2716,3234.19,190.0,10322.74
165,1,3,881,9158,4267,4182.21,3158.0,3956.28
368,1,2,918,11695,1412,4669.33,0.0,10944.67
70,3,3,318,19323,11891,4431.9,5969.0,0.0
269,1,1,565,14894,5068,2913.14,0.0,13276.85
38,2,1,1155,15708,7265,4399.57,1105.0,11169.58
272,2,1,195,13668,13261,2339.9,11831.0,9565.78
69,3,2,87,18934,4225,3731.81,596.0,15779.09
157,2,3,157,6852,1449,2564.9,264.0,10544.66
59,1,3,482,6240,512,1210.87,215.0,0.0
13,2,2,819,7867,3653,269.15,2365.0,52.43
354,2,1,1001,16678,4284,3865.92,425.0,613.18
370,3,1,488,13929,7942,3912.5,5415.0,7798.44
411,2,2,1056,18952,5882,1173.77,5550.0,1979.74
99,2,3,511,19824,4631,935.62,1407.0,1363.02
247,2,3,341,11475,2173,534.0,1522.0,160.81
